n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,32,TRUE,FALSE,Y_EQ,Estimate,-0.08294033858056822,0.9768614103803432,0.9754835796967121,0.3445509199501484,0.9807552430188231
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,32,TRUE,FALSE,Y_EQ,Error,0.05970157192095597,0.01865390667227482,0.06301216985573466,0.05616395559380661,0.025945329460853886
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,32,FALSE,FALSE,Y_EQ,Estimate,-0.08255301482264603,0.9761728796291441,0.9797539703085998,0.3311041457426516,0.9856180311463565
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,32,FALSE,FALSE,Y_EQ,Error,0.058727512261035425,0.0187062014729974,0.06366413342969264,0.054052866160241665,0.026073300355716575
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,32,TRUE,TRUE,Y_EQ,Estimate,-0.08294033858056822,0.9768614103803432,0.9754835796967121,0.3445509199501484,0.9807552430188231
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,32,TRUE,TRUE,Y_EQ,Error,0.05970157192095597,0.01865390667227482,0.06301216985573466,0.05616395559380661,0.025945329460853886
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,32,FALSE,TRUE,Y_EQ,Estimate,-0.08255301482264603,0.9761728796291441,0.9797539703085998,0.3311041457426516,0.9856180311463565
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,32,FALSE,TRUE,Y_EQ,Error,0.058727512261035425,0.0187062014729974,0.06366413342969264,0.054052866160241665,0.026073300355716575
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,32,TRUE,FALSE,Y_UQ,Estimate,-0.08336546293177252,0.9778270994539484,0.9691448463805216,0.3459517564804526,0.9891533619438816
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,32,TRUE,FALSE,Y_UQ,Error,0.059849481465154016,0.01873345388303449,0.06328038592049186,0.056426888079340654,0.026167830451122073
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,32,FALSE,FALSE,Y_UQ,Estimate,-0.08278608755440153,0.9771716554094999,0.9735944109999827,0.3451487974197412,0.9822644256119677
