n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,TRUE,FALSE,Y_EQ,Estimate,-0.020455243269141197,1.0109732819054515,1.0248794484913388,0.16237893249782565,1.0296743092109766
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,TRUE,FALSE,Y_EQ,Error,0.044296728285734374,0.01882310365351946,0.06330248378524896,0.029460192446277497,0.02718254156294804
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,FALSE,FALSE,Y_EQ,Estimate,-0.020194580911701267,1.0116782069550339,1.024441234272719,0.15482316440395946,1.0343507453317784
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,FALSE,FALSE,Y_EQ,Error,0.04350458773271938,0.0188683760499306,0.06394860869068007,0.028300862728808416,0.027306309455309905
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,TRUE,TRUE,Y_EQ,Estimate,-0.020455243269141197,1.0109732819054515,1.0248794484913388,0.16237893249782565,1.0296743092109766
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,TRUE,TRUE,Y_EQ,Error,0.044296728285734374,0.01882310365351946,0.06330248378524896,0.029460192446277497,0.02718254156294804
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,FALSE,TRUE,Y_EQ,Estimate,-0.020194580911701267,1.0116782069550339,1.024441234272719,0.15482316440395946,1.0343507453317784
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,FALSE,TRUE,Y_EQ,Error,0.04350458773271938,0.0188683760499306,0.06394860869068007,0.028300862728808416,0.027306309455309905
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,TRUE,FALSE,Y_UQ,Estimate,-0.0205201418920067,1.009738500256858,1.025105388666373,0.16113924098820945,1.0326326101493428
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,TRUE,FALSE,Y_UQ,Error,0.044178437334249386,0.018849703094712206,0.06339124052067054,0.029301777038533146,0.02726025027561914
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,FALSE,FALSE,Y_UQ,Estimate,-0.020621936405153203,1.010629100460629,1.0252612959656076,0.16023004198020796,1.0310214131257291
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,FALSE,FALSE,Y_UQ,Error,0.044074174126905244,0.018839608946900836,0.0638579690036809,0.029098094557950507,0.027219513629420048
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,TRUE,TRUE,Y_UQ,Estimate,-0.0205201418920067,1.009738500256858,1.025105388666373,0.16113924098820945,1.0326326101493428
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,TRUE,TRUE,Y_UQ,Error,0.044178437334249386,0.018849703094712206,0.06339124052067054,0.029301777038533146,0.02726025027561914
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,FALSE,TRUE,Y_UQ,Estimate,-0.020621936405153203,1.010629100460629,1.0252612959656076,0.16023004198020796,1.0310214131257291
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,25,FALSE,TRUE,Y_UQ,Error,0.044074174126905244,0.018839608946900836,0.0638579690036809,0.029098094557950507,0.027219513629420048
