n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,TRUE,FALSE,Y_EQ,Estimate,-0.037546825698285165,0.9946324103066964,1.0803184512105213,0.4508701506930074,0.9897691364620339
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,TRUE,FALSE,Y_EQ,Error,0.06677883723624763,0.01979410477444396,0.04655492045011488,0.07272032261420516,0.0261777319534609
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,FALSE,FALSE,Y_EQ,Estimate,-0.038193489418446136,0.9903270237783113,1.0818634718607258,0.40680808918991973,1.008971069025561
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,FALSE,FALSE,Y_EQ,Error,0.06417033681941293,0.01997144612216282,0.047166530589273656,0.06600306477893397,0.02668906802275316
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,TRUE,TRUE,Y_EQ,Estimate,-0.037546825698285165,0.9946324103066964,1.0803184512105213,0.4508701506930074,0.9897691364620339
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,TRUE,TRUE,Y_EQ,Error,0.06677883723624763,0.01979410477444396,0.04655492045011488,0.07272032261420516,0.0261777319534609
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,FALSE,TRUE,Y_EQ,Estimate,-0.038193489418446136,0.9903270237783113,1.0818634718607258,0.40680808918991973,1.008971069025561
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,FALSE,TRUE,Y_EQ,Error,0.06417033681941293,0.01997144612216282,0.047166530589273656,0.06600306477893397,0.02668906802275316
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,TRUE,FALSE,Y_UQ,Estimate,-0.0368100150596781,0.9980112315232512,1.082190228001849,0.45163914970500973,1.0154243929904576
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,TRUE,FALSE,Y_UQ,Error,0.06699864304305551,0.020048424816670733,0.047151801595700385,0.07301842511415221,0.026857684636803693
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,FALSE,FALSE,Y_UQ,Estimate,-0.03678797299762712,0.9943951740028985,1.0806118270848775,0.45351697227221605,0.9914298670016619
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,FALSE,FALSE,Y_UQ,Error,0.0668728696498947,0.01979921234091903,0.04676844946156873,0.0728031869443705,0.026226247335529963
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,TRUE,TRUE,Y_UQ,Estimate,-0.0368100150596781,0.9980112315232512,1.082190228001849,0.45163914970500973,1.0154243929904576
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,TRUE,TRUE,Y_UQ,Error,0.06699864304305551,0.020048424816670733,0.047151801595700385,0.07301842511415221,0.026857684636803693
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,12,1,24,FALSE,TRUE,Y_UQ,Estimate,-0.03678797299762712,0.9943951740028985,1.0806118270848775,0.45351697227221605,0.9914298670016619
