n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,TRUE,FALSE,Y_EQ,Estimate,-0.07745442131741563,0.9847311378252868,1.1305124050239046,0.23784556551188243,0.9609987176438245
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,TRUE,FALSE,Y_EQ,Error,0.051454200087880576,0.01856681386146632,0.04334873672809538,0.040775695133834985,0.02545393965244197
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,FALSE,FALSE,Y_EQ,Estimate,-0.07534609227451328,0.9877627227277033,1.1354796256627864,0.2087016725050276,0.9744694659564237
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,FALSE,FALSE,Y_EQ,Error,0.048807866281552405,0.018683634794426623,0.043795506040128655,0.03621750929564386,0.025813120080467596
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,TRUE,TRUE,Y_EQ,Estimate,-0.07745442131741563,0.9847311378252868,1.1305124050239046,0.23784556551188243,0.9609987176438245
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,TRUE,TRUE,Y_EQ,Error,0.051454200087880576,0.01856681386146632,0.04334873672809538,0.040775695133834985,0.02545393965244197
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,FALSE,TRUE,Y_EQ,Estimate,-0.07534609227451328,0.9877627227277033,1.1354796256627864,0.2087016725050276,0.9744694659564237
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,FALSE,TRUE,Y_EQ,Error,0.048807866281552405,0.018683634794426623,0.043795506040128655,0.03621750929564386,0.025813120080467596
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,TRUE,FALSE,Y_UQ,Estimate,-0.08149854200966535,0.9811774291130295,1.1142887044323828,0.23838195452680308,0.9711595755540551
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,TRUE,FALSE,Y_UQ,Error,0.051552783284229,0.018664339827660543,0.0435762513736002,0.04092854978601334,0.02572438616194834
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,FALSE,FALSE,Y_UQ,Estimate,-0.07895727883672285,0.9847057579759277,1.1194486088405955,0.23625682800656678,0.9605954849418823
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,FALSE,FALSE,Y_UQ,Error,0.05123723994606384,0.01855515287727824,0.043505730279448436,0.04020153584602473,0.02544641241170401
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,TRUE,TRUE,Y_UQ,Estimate,-0.08149854200966535,0.9811774291130295,1.1142887044323828,0.23838195452680308,0.9711595755540551
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,TRUE,TRUE,Y_UQ,Error,0.051552783284229,0.018664339827660543,0.0435762513736002,0.04092854978601334,0.02572438616194834
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,FALSE,TRUE,Y_UQ,Estimate,-0.07895727883672285,0.9847057579759277,1.1194486088405955,0.23625682800656678,0.9605954849418823
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,5,FALSE,TRUE,Y_UQ,Error,0.05123723994606384,0.01855515287727824,0.043505730279448436,0.04020153584602473,0.02544641241170401
