n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,TRUE,FALSE,Y_EQ,Estimate,-0.03912571603889257,1.0103430557999284,0.9642574099583487,0.35982729816145054,0.9869799651059793
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,TRUE,FALSE,Y_EQ,Error,0.060936346091747834,0.018501361817934277,0.06181875012605852,0.05783381202403123,0.026100533695722135
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,FALSE,FALSE,Y_EQ,Estimate,-0.03509213604543202,1.011045586479107,0.9935345282040698,0.34082824874304807,0.9965585753382046
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,FALSE,FALSE,Y_EQ,Error,0.059630683058915133,0.018586059741036394,0.06260084005761744,0.05492649959107695,0.026354818076267703
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,TRUE,TRUE,Y_EQ,Estimate,-0.03912571603889257,1.0103430557999284,0.9642574099583487,0.35982729816145054,0.9869799651059793
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,TRUE,TRUE,Y_EQ,Error,0.060936346091747834,0.018501361817934277,0.06181875012605852,0.05783381202403123,0.026100533695722135
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,FALSE,TRUE,Y_EQ,Estimate,-0.03509213604543202,1.011045586479107,0.9935345282040698,0.34082824874304807,0.9965585753382046
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,FALSE,TRUE,Y_EQ,Error,0.059630683058915133,0.018586059741036394,0.06260084005761744,0.05492649959107695,0.026354818076267703
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,TRUE,FALSE,Y_UQ,Estimate,-0.04299200658475636,1.00981854785675,0.9294620182819459,0.36055219321411114,0.988081339103485
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,TRUE,FALSE,Y_UQ,Error,0.06099250458402681,0.018511779227387996,0.061853396982066794,0.05796191315864743,0.026129815357553102
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,FALSE,FALSE,Y_UQ,Estimate,-0.03894042700848658,1.0102276985646088,0.9618955625296112,0.3548310215924162,0.9855020854627721
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,FALSE,FALSE,Y_UQ,Error,0.060535318240130295,0.018484159150500425,0.06226013172410491,0.05693533126491786,0.02606279855244898
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,TRUE,TRUE,Y_UQ,Estimate,-0.04299200658475636,1.00981854785675,0.9294620182819459,0.36055219321411114,0.988081339103485
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,TRUE,TRUE,Y_UQ,Error,0.06099250458402681,0.018511779227387996,0.061853396982066794,0.05796191315864743,0.026129815357553102
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,FALSE,TRUE,Y_UQ,Estimate,-0.03894042700848658,1.0102276985646088,0.9618955625296112,0.3548310215924162,0.9855020854627721
3e3,0,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,7,1,31,FALSE,TRUE,Y_UQ,Error,0.060535318240130295,0.018484159150500425,0.06226013172410491,0.05693533126491786,0.02606279855244898
