n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,TRUE,FALSE,Y_EQ,Estimate,0.06034228517493305,1.017814846575993,1.0178944307062696,0.32860746920174205,1.0009942840255728
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,TRUE,FALSE,Y_EQ,Error,0.058751648710450376,0.019562422797528685,0.06600590357808188,0.053526628170516004,0.026474929141425893
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,FALSE,FALSE,Y_EQ,Estimate,0.062374674660176155,1.0180042142056176,1.0352938310716435,0.31869684912279617,1.0020546831800585
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,FALSE,FALSE,Y_EQ,Error,0.05799226722070471,0.019587187372772277,0.06682259446252838,0.05188086480676433,0.02650118809624832
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,TRUE,TRUE,Y_EQ,Estimate,0.06034228517493305,1.017814846575993,1.0178944307062696,0.32860746920174205,1.0009942840255728
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,TRUE,TRUE,Y_EQ,Error,0.058751648710450376,0.019562422797528685,0.06600590357808188,0.053526628170516004,0.026474929141425893
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,FALSE,TRUE,Y_EQ,Estimate,0.062374674660176155,1.0180042142056176,1.0352938310716435,0.31869684912279617,1.0020546831800585
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,FALSE,TRUE,Y_EQ,Error,0.05799226722070471,0.019587187372772277,0.06682259446252838,0.05188086480676433,0.02650118809624832
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,TRUE,FALSE,Y_UQ,Estimate,0.058857589341701745,1.0171892426154807,1.0029534274522869,0.32961043968504605,1.0118247500713216
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,TRUE,FALSE,Y_UQ,Error,0.058885353741320284,0.019667723629675993,0.0663609085650599,0.053743778799631894,0.026762172648541287
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,FALSE,FALSE,Y_UQ,Estimate,0.06114569280094824,1.0175814472991715,1.0176196231358319,0.33214227499066545,1.001397121649197
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,FALSE,FALSE,Y_UQ,Error,0.0589641197811282,0.019582260795084856,0.06681160214449851,0.05386391594337179,0.02648523085943021
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,TRUE,TRUE,Y_UQ,Estimate,0.058857589341701745,1.0171892426154807,1.0029534274522869,0.32961043968504605,1.0118247500713216
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,TRUE,TRUE,Y_UQ,Error,0.058885353741320284,0.019667723629675993,0.0663609085650599,0.053743778799631894,0.026762172648541287
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,FALSE,TRUE,Y_UQ,Estimate,0.06114569280094824,1.0175814472991715,1.0176196231358319,0.33214227499066545,1.001397121649197
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,9,1,21,FALSE,TRUE,Y_UQ,Error,0.0589641197811282,0.019582260795084856,0.06681160214449851,0.05386391594337179,0.02648523085943021
