n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,3,1,27,TRUE,FALSE,Y_EQ,Estimate,0.007089391887783557,0.9801889581634481,1.0485424536253374,0.18341656081371605,0.9687090412284856
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,3,1,27,TRUE,FALSE,Y_EQ,Error,0.04633556018109021,0.019150017338553114,0.06526352280028296,0.032959464771926766,0.025642897905221198
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,3,1,27,FALSE,FALSE,Y_EQ,Estimate,0.007693112419999925,0.9804935540302924,1.0643192138573294,0.16877864141645338,0.9779296169154603
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,3,1,27,FALSE,FALSE,Y_EQ,Error,0.0448892479636673,0.01921682491449878,0.06601809824337895,0.030663407934991404,0.025885837852477393
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,3,1,27,TRUE,TRUE,Y_EQ,Estimate,0.007089391887783557,0.9801889581634481,1.0485424536253374,0.18341656081371605,0.9687090412284856
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,3,1,27,TRUE,TRUE,Y_EQ,Error,0.04633556018109021,0.019150017338553114,0.06526352280028296,0.032959464771926766,0.025642897905221198
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,3,1,27,FALSE,TRUE,Y_EQ,Estimate,0.007693112419999925,0.9804935540302924,1.0643192138573294,0.16877864141645338,0.9779296169154603
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,3,1,27,FALSE,TRUE,Y_EQ,Error,0.0448892479636673,0.01921682491449878,0.06601809824337895,0.030663407934991404,0.025885837852477393
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,3,1,27,TRUE,FALSE,Y_UQ,Estimate,0.004976580026546136,0.9808377241269087,1.0260453004143943,0.18359019948655048,0.9668135233964744
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,3,1,27,TRUE,FALSE,Y_UQ,Error,0.04634268906878125,0.01913143112465025,0.06520049373173836,0.032981043536641046,0.025593093733603904
3e3,0.5,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,3,1,27,FALSE,FALSE,Y_UQ,Estimate,0.005995165303619828,0.981051093408454,1.0417434629737476,0.17587615036435297,0.9698354542298686
