n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,TRUE,FALSE,Y_EQ,Estimate,-0.024968516855243508,0.9766363169044833,1.0461100269756516,0.20673289373527917,1.0238323784398702
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,TRUE,FALSE,Y_EQ,Error,0.048910331573016476,0.0203596704105487,0.04805309532961715,0.0363679420322537,0.027035299139358066
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,FALSE,FALSE,Y_EQ,Estimate,-0.026268770305026338,0.9778409012931981,1.0442666630277517,0.18830376949725616,1.0313691066122057
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,FALSE,FALSE,Y_EQ,Error,0.04714530471156754,0.020461496247965373,0.04842943515956183,0.03337359555222192,0.02724356238834642
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,TRUE,TRUE,Y_EQ,Estimate,-0.024968516855243508,0.9766363169044833,1.0461100269756516,0.20673289373527917,1.0238323784398702
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,TRUE,TRUE,Y_EQ,Error,0.048910331573016476,0.0203596704105487,0.04805309532961715,0.0363679420322537,0.027035299139358066
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,FALSE,TRUE,Y_EQ,Estimate,-0.026268770305026338,0.9778409012931981,1.0442666630277517,0.18830376949725616,1.0313691066122057
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,FALSE,TRUE,Y_EQ,Error,0.04714530471156754,0.020461496247965373,0.04842943515956183,0.03337359555222192,0.02724356238834642
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,TRUE,FALSE,Y_UQ,Estimate,-0.02562946936273305,0.9763364018133159,1.0426175727892018,0.20507468167067444,1.0336156382593678
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,TRUE,FALSE,Y_UQ,Error,0.04880290940370673,0.020455559765666237,0.048278843157922115,0.03618224857872762,0.02729323667213671
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,FALSE,FALSE,Y_UQ,Estimate,-0.027296740911327427,0.9777888271191567,1.0414867962513883,0.20606046694851748,1.0240928754525196
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,FALSE,FALSE,Y_UQ,Error,0.04882840086063461,0.0203948026695733,0.04828118126264982,0.03595065225759803,0.02705522350666269
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,30,TRUE,TRUE,Y_UQ,Estimate,-0.02562946936273305,0.9763364018133159,1.0426175727892018,0.20507468167067444,1.0336156382593678
