n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,26,TRUE,FALSE,Y_EQ,Estimate,0.014726481488337814,1.0089521378310942,1.0480423961625585,0.17482021168223483,1.0022662609525672
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,26,TRUE,FALSE,Y_EQ,Error,0.045418028433290084,0.018609093913387623,0.06330692119982627,0.030829855149959253,0.02654875449780424
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,26,FALSE,FALSE,Y_EQ,Estimate,0.015358454439163578,1.0089195072271466,1.0485894290150233,0.16488883316897737,1.007644358537547
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,26,FALSE,FALSE,Y_EQ,Error,0.04436968874354293,0.01866572941567425,0.06399911627184611,0.02923381331714835,0.02668913637639018
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,26,TRUE,TRUE,Y_EQ,Estimate,0.014726481488337814,1.0089521378310942,1.0480423961625585,0.17482021168223483,1.0022662609525672
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,26,TRUE,TRUE,Y_EQ,Error,0.045418028433290084,0.018609093913387623,0.06330692119982627,0.030829855149959253,0.02654875449780424
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,26,FALSE,TRUE,Y_EQ,Estimate,0.015358454439163578,1.0089195072271466,1.0485894290150233,0.16488883316897737,1.007644358537547
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,26,FALSE,TRUE,Y_EQ,Error,0.04436968874354293,0.01866572941567425,0.06399911627184611,0.02923381331714835,0.02668913637639018
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,26,TRUE,FALSE,Y_UQ,Estimate,0.014243385602898997,1.0090329756519663,1.0466026058363358,0.17560023223996507,1.0021197000546525
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,26,TRUE,FALSE,Y_UQ,Error,0.0454953892067486,0.018607988941087596,0.06330319462774199,0.03095541869659042,0.02654517278864936
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,26,FALSE,FALSE,Y_UQ,Estimate,0.014789845065561753,1.0089587218452458,1.04694900005811,0.17137804587615935,1.001997418042873
