n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,6,TRUE,FALSE,Y_EQ,Estimate,0.0022629742501257544,1.0064646083880038,0.9787636937524011,0.15748583264741506,0.9844627879448451
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,6,TRUE,FALSE,Y_EQ,Error,0.043737959348723675,0.019649159902919097,0.045998698237411234,0.029495821585611214,0.026050744148828686
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,6,FALSE,FALSE,Y_EQ,Estimate,0.002209792993180005,1.0072243613626053,0.9775060862627891,0.1357971006790938,0.9943605840252224
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,6,FALSE,FALSE,Y_EQ,Error,0.04131786635865646,0.01975473377476495,0.04640124927364363,0.025870055595782714,0.026310531752263482
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,6,TRUE,TRUE,Y_EQ,Estimate,0.0022629742501257544,1.0064646083880038,0.9787636937524011,0.15748583264741506,0.9844627879448451
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,6,TRUE,TRUE,Y_EQ,Error,0.043737959348723675,0.019649159902919097,0.045998698237411234,0.029495821585611214,0.026050744148828686
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,6,FALSE,TRUE,Y_EQ,Estimate,0.002209792993180005,1.0072243613626053,0.9775060862627891,0.1357971006790938,0.9943605840252224
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,6,FALSE,TRUE,Y_EQ,Error,0.04131786635865646,0.01975473377476495,0.04640124927364363,0.025870055595782714,0.026310531752263482
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,6,TRUE,FALSE,Y_UQ,Estimate,0.0031639789368789867,1.0050923123007345,0.9825556069078217,0.15704865723305053,0.9925129503926186
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,6,TRUE,FALSE,Y_UQ,Error,0.04372795823543618,0.019728984437290292,0.0461849268880338,0.029491381358685124,0.02626334951641986
3e3,0.5,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,6,1,6,FALSE,FALSE,Y_UQ,Estimate,0.0024776301300855866,1.0064785997087426,0.9801469495691868,0.15672642331993855,0.984513018712823
