n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,TRUE,FALSE,Y_EQ,Estimate,0.020213888677717045,0.9693292101613777,1.0026529110835751,0.1768356163221491,1.0082744134900734
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,TRUE,FALSE,Y_EQ,Error,0.04565854051979316,0.018932109919581965,0.04433516720074383,0.031503519166522796,0.026691376570734306
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,FALSE,FALSE,Y_EQ,Estimate,0.017565710126218517,0.9690194030582565,0.9908061109530041,0.16916949278507734,1.005861385695391
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,FALSE,FALSE,Y_EQ,Error,0.04492031391349595,0.018953764919537316,0.04445103691657888,0.030019868020576674,0.026625391440301575
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,TRUE,TRUE,Y_EQ,Estimate,0.020213888677717045,0.9693292101613777,1.0026529110835751,0.1768356163221491,1.0082744134900734
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,TRUE,TRUE,Y_EQ,Error,0.04565854051979316,0.018932109919581965,0.04433516720074383,0.031503519166522796,0.026691376570734306
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,FALSE,TRUE,Y_EQ,Estimate,0.017565710126218517,0.9690194030582565,0.9908061109530041,0.16916949278507734,1.005861385695391
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,FALSE,TRUE,Y_EQ,Error,0.04492031391349595,0.018953764919537316,0.04445103691657888,0.030019868020576674,0.026625391440301575
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,TRUE,FALSE,Y_UQ,Estimate,0.024276793073949327,0.9699470648002536,1.01982902384497,0.17786517395998175,1.0250334375717138
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,TRUE,FALSE,Y_UQ,Error,0.04584149681902342,0.019087904073025665,0.044700310238733346,0.03177031954831003,0.02713506794120218
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,FALSE,FALSE,Y_UQ,Estimate,0.020548699817316333,0.970019870554577,1.0076948676204691,0.18919003939619314,1.005863855313098
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,FALSE,FALSE,Y_UQ,Error,0.046938931510899354,0.018958169729698576,0.044473345591787075,0.03294892559520424,0.02662861454996503
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,TRUE,TRUE,Y_UQ,Estimate,0.024276793073949327,0.9699470648002536,1.01982902384497,0.17786517395998175,1.0250334375717138
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,TRUE,TRUE,Y_UQ,Error,0.04584149681902342,0.019087904073025665,0.044700310238733346,0.03177031954831003,0.02713506794120218
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,FALSE,TRUE,Y_UQ,Estimate,0.020548699817316333,0.970019870554577,1.0076948676204691,0.18919003939619314,1.005863855313098
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,5,1,17,FALSE,TRUE,Y_UQ,Error,0.046938931510899354,0.018958169729698576,0.044473345591787075,0.03294892559520424,0.02662861454996503
