n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,TRUE,FALSE,Y_EQ,Estimate,-0.01477765447075091,0.9728259505905296,1.123544839914337,0.18487545386389498,1.02227131706379
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,TRUE,FALSE,Y_EQ,Error,0.04684984859630455,0.019038636585375204,0.06445858555693425,0.03305772994448326,0.02705075766683234
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,FALSE,FALSE,Y_EQ,Estimate,-0.013392171002448069,0.9723258093235247,1.1420069563043653,0.17344526790721532,1.0281378120009685
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,FALSE,FALSE,Y_EQ,Error,0.04568619358571078,0.019094366685926314,0.06530011034167775,0.031208548808058307,0.027203102619889976
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,TRUE,TRUE,Y_EQ,Estimate,-0.01477765447075091,0.9728259505905296,1.123544839914337,0.18487545386389498,1.02227131706379
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,TRUE,TRUE,Y_EQ,Error,0.04684984859630455,0.019038636585375204,0.06445858555693425,0.03305772994448326,0.02705075766683234
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,FALSE,TRUE,Y_EQ,Estimate,-0.013392171002448069,0.9723258093235247,1.1420069563043653,0.17344526790721532,1.0281378120009685
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,FALSE,TRUE,Y_EQ,Error,0.04568619358571078,0.019094366685926314,0.06530011034167775,0.031208548808058307,0.027203102619889976
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,TRUE,FALSE,Y_UQ,Estimate,-0.01609416470927091,0.9737967714256187,1.1115376549545835,0.18557933454392855,1.0248801676523867
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,TRUE,FALSE,Y_UQ,Error,0.04693319878948082,0.019063002069685118,0.06454095614039135,0.03318577222074537,0.027119337423552582
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,FALSE,FALSE,Y_UQ,Estimate,-0.014823785513774227,0.9731750943033678,1.1284923143895558,0.18344926210711063,1.0220321970880715
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,FALSE,FALSE,Y_UQ,Error,0.04667456070437611,0.019040544474646103,0.06513150764086126,0.03266750988915489,0.02704359468843948
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,TRUE,TRUE,Y_UQ,Estimate,-0.01609416470927091,0.9737967714256187,1.1115376549545835,0.18557933454392855,1.0248801676523867
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,TRUE,TRUE,Y_UQ,Error,0.04693319878948082,0.019063002069685118,0.06454095614039135,0.03318577222074537,0.027119337423552582
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,2,1,2,FALSE,TRUE,Y_UQ,Estimate,-0.014823785513774227,0.9731750943033678,1.1284923143895558,0.18344926210711063,1.0220321970880715
