n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,TRUE,FALSE,Y_EQ,Estimate,0.10565515561405943,1.0098125281811383,0.9084043409368597,0.36342282330976006,0.9972635315988464
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,TRUE,FALSE,Y_EQ,Error,0.06111699137459466,0.018674665761333965,0.06321594672391277,0.05932428554727753,0.026388461341656178
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,FALSE,FALSE,Y_EQ,Estimate,0.1038087932104316,1.0106209219034292,0.890930909950295,0.3498324651744518,1.0038010097338945
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,FALSE,FALSE,Y_EQ,Error,0.06016196855695713,0.018734631001321708,0.06373606192603246,0.05724442480091207,0.026562377586251785
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,TRUE,TRUE,Y_EQ,Estimate,0.10565515561405943,1.0098125281811383,0.9084043409368597,0.36342282330976006,0.9972635315988464
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,TRUE,TRUE,Y_EQ,Error,0.06111699137459466,0.018674665761333965,0.06321594672391277,0.05932428554727753,0.026388461341656178
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,FALSE,TRUE,Y_EQ,Estimate,0.1038087932104316,1.0106209219034292,0.890930909950295,0.3498324651744518,1.0038010097338945
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,FALSE,TRUE,Y_EQ,Error,0.06016196855695713,0.018734631001321708,0.06373606192603246,0.05724442480091207,0.026562377586251785
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,TRUE,FALSE,Y_UQ,Estimate,0.10638456814260397,1.008186337709021,0.9169389955724223,0.36375478130219685,1.0022414860346094
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,TRUE,FALSE,Y_UQ,Error,0.061169346190664366,0.01872112156242795,0.06337283164962823,0.05940766747954762,0.02652019545427111
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,FALSE,FALSE,Y_UQ,Estimate,0.10463650760478041,1.0093167407862864,0.8984103736099694,0.36303239776189183,0.996911974605468
3e3,0.25,0,1,0.1,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,8,1,20,FALSE,FALSE,Y_UQ,Error,0.06102148119877676,0.018671319675959634,0.06352411448758961,0.05915530598440021,0.026380705969218196
