n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,13,TRUE,FALSE,Y_EQ,Estimate,0.004754664601269556,0.9761872189334392,1.0041535472134486,0.16258031276059526,0.999422955926606
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,13,TRUE,FALSE,Y_EQ,Error,0.044310822115645986,0.018539649335785308,0.06253815985751207,0.0296739475000472,0.026411338352640347
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,13,FALSE,FALSE,Y_EQ,Estimate,0.0069957418949245665,0.9759303646149606,1.0254319420598748,0.1554005673974035,1.0031812954655321
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,13,FALSE,FALSE,Y_EQ,Error,0.043552034628218016,0.01856589178571684,0.06311218760049396,0.02850727629258657,0.026513746980562157
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,13,TRUE,TRUE,Y_EQ,Estimate,0.004754664601269556,0.9761872189334392,1.0041535472134486,0.16258031276059526,0.999422955926606
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,13,TRUE,TRUE,Y_EQ,Error,0.044310822115645986,0.018539649335785308,0.06253815985751207,0.0296739475000472,0.026411338352640347
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,13,FALSE,TRUE,Y_EQ,Estimate,0.0069957418949245665,0.9759303646149606,1.0254319420598748,0.1554005673974035,1.0031812954655321
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,13,FALSE,TRUE,Y_EQ,Error,0.043552034628218016,0.01856589178571684,0.06311218760049396,0.02850727629258657,0.026513746980562157
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,13,TRUE,FALSE,Y_UQ,Estimate,0.0030211717007740642,0.9760807489098883,0.9851483748857695,0.1617194593006444,1.0013906176984197
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,13,TRUE,FALSE,Y_UQ,Error,0.04422896438996258,0.018557601693485262,0.06259790962429695,0.029562795543957222,0.026462399221195376
3e3,0,0,1,0.1,0,1,0.375,100,0,0.42,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.1499489969398164,1,1,13,FALSE,FALSE,Y_UQ,Estimate,0.005150556646205332,0.9757954548484591,1.0074393005492586,0.16120874191649257,0.9990536080599419
