n.students,X_PS.cor,X.m,X.sd,M.m,e.m,e.sd,tripleRate,n.schools,u0.m,u0.sd,gen_frm,Bs,est_frm,ICC,CID,reps,RID,isEqual,isRandom,Gen,stat,FE_Int,FE_X,FE_M,RE_u0j,RE_ei
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,11,1,35,TRUE,FALSE,Y_EQ,Estimate,-0.008829413964700229,0.9690200322587417,0.976177291733924,0.26544349843257586,0.986014208159743
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,11,1,35,TRUE,FALSE,Y_EQ,Error,0.053767532192267424,0.018728593649273758,0.043991152486007025,0.04546254427030237,0.02602069873875406
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,11,1,35,FALSE,FALSE,Y_EQ,Estimate,-0.007744900842061615,0.9726535459479264,0.9771955487684791,0.23404033228031204,1.0015103450542264
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,11,1,35,FALSE,FALSE,Y_EQ,Error,0.051173411528775074,0.018876404518822762,0.04458621032793184,0.04053428547336357,0.026426790942087375
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,11,1,35,TRUE,TRUE,Y_EQ,Estimate,-0.008829413964700229,0.9690200322587417,0.976177291733924,0.26544349843257586,0.986014208159743
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,11,1,35,TRUE,TRUE,Y_EQ,Error,0.053767532192267424,0.018728593649273758,0.043991152486007025,0.04546254427030237,0.02602069873875406
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,11,1,35,FALSE,TRUE,Y_EQ,Estimate,-0.007744900842061615,0.9726535459479264,0.9771955487684791,0.23404033228031204,1.0015103450542264
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,11,1,35,FALSE,TRUE,Y_EQ,Error,0.051173411528775074,0.018876404518822762,0.04458621032793184,0.04053428547336357,0.026426790942087375
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,11,1,35,TRUE,FALSE,Y_UQ,Estimate,-0.009085926697345058,0.9669746896431648,0.9771859014446413,0.2657473454133758,1.0008776384141722
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,11,1,35,TRUE,FALSE,Y_UQ,Error,0.053872099001070074,0.018868758057040743,0.044319263342324944,0.045592588877168445,0.026412803352110638
3e3,0.25,0,1,0.25,0,1,0.375,100,0,0.577,~1 + X + M + w.u0 + e,"c(0, 1, 1, 1, 1)",Y ~ 1 + X + M + (1 | mm1) + (1 | ID),0.24977249350865646,11,1,35,FALSE,FALSE,Y_UQ,Estimate,-0.007752584676225487,0.9707580595117032,0.9800604593440067,0.26646604200170804,0.9877347616746662
