"CHILDID","mm1","mm2","mm3","w1","w2","w3","POST","cons","Mob","PRE","RET","wM","wPRE","wRET"
"0174010C",186,498,0,0.5,0.5,0,56.47,1,1,36.51,7,0.727751140217518,-7.54785415315593,4.27973336451877
"0174022C",186,498,0,0.5,0.5,0,114.96,1,1,60.41,7,0.727751140217518,-7.54785415315593,4.27973336451877
"0737003C",592,1043,0,0.5,0.5,0,114.21,1,1,42.75,4,0.263465425931804,-6.49854895835074,-0.113123778338373
"0174024C",186,498,0,0.5,0.5,0,78.51,1,1,49.91,7,0.727751140217518,-7.54785415315593,4.27973336451877
"0737011C",1043,1029,0,0.5,0.5,0,157.74,1,1,87.86,1,-0.207122809362314,10.0334048231619,2.51502748216583
"1045007C",33,0,0,1,0,0,127.9,1,0,59.95,0,-0.216693304226926,16.0185145337128,-2.72026663548123
"1045019C",33,0,0,1,0,0,127.47,1,0,85.35,0,-0.216693304226926,16.0185145337128,-2.72026663548123
"1045020C",33,0,0,1,0,0,157.41,1,0,102.28,0,-0.216693304226926,16.0185145337128,-2.72026663548123
"1045021C",33,0,0,1,0,0,148.97,1,0,88.92,0,-0.216693304226926,16.0185145337128,-2.72026663548123
"1045023C",33,0,0,1,0,0,129.05,1,0,63.55,0,-0.216693304226926,16.0185145337128,-2.72026663548123
"1045025C",33,0,0,1,0,0,157.19,1,0,97.89,0,-0.216693304226926,16.0185145337128,-2.72026663548123
"1049004C",34,0,0,1,0,0,123.89,1,0,49.11,0,-0.188915526449148,10.4349034226016,-2.72026663548123
"1049006C",34,0,0,1,0,0,157.79,1,0,96.51,0,-0.188915526449148,10.4349034226016,-2.72026663548123
"1049008C",34,0,0,1,0,0,162.72,1,0,86.58,0,-0.188915526449148,10.4349034226016,-2.72026663548123
"1049011C",34,0,0,1,0,0,85.6,1,0,34.55,0,-0.188915526449148,10.4349034226016,-2.72026663548123
"1049016C",34,0,0,1,0,0,133.7,1,0,65.77,0,-0.188915526449148,10.4349034226016,-2.72026663548123
"1049020C",34,0,0,1,0,0,135.36,1,0,73.41,0,-0.188915526449148,10.4349034226016,-2.72026663548123
"1049021C",34,0,0,1,0,0,152.24,1,0,72.99,0,-0.188915526449148,10.4349034226016,-2.72026663548123
